date,monthly_return_pct,cumulative_return_pct,capital_deployed,num_stocks,num_stocks_trading,uniform_size,portfolio_cumulated_loss_pct
2015-02-01,4.2972,4.2972,0.9,143,90,1,0.0
2015-03-01,-0.7369,3.5603,0.9,143,90,1,0.0
2015-04-01,2.6423,6.2026,1.8,143,90,2,0.7369
2015-05-01,0.7598,6.9624,0.9,143,90,1,0.0
2015-06-01,-0.8907,6.0717,0.9,143,90,1,0.0
2015-07-01,4.9815,11.0532,1.8,143,90,2,0.8907
2015-08-01,-2.0654,8.9877,0.66,143,66,1,0.0
2015-09-01,-2.6708,6.3169,1.5,143,25,6,2.0654
2015-10-01,48.5662,54.8832,6.2,143,31,20,4.7362
2015-11-01,0.063,54.9462,0.56,143,56,1,0.0
2015-12-01,-0.4963,54.4499,0.51,143,51,1,0.0
2016-01-01,-0.9671,53.4828,1.06,143,53,2,0.4963
2016-02-01,-2.057,51.4258,1.48,143,37,4,1.4634
2016-03-01,27.7007,79.1265,5.2,143,52,10,3.5204
2016-04-01,0.355,79.4815,0.7,143,70,1,0.0
2016-05-01,0.1511,79.6325,0.55,143,55,1,0.0
2016-06-01,1.1945,80.827,0.59,143,59,1,0.0
2016-07-01,0.9893,81.8163,0.56,143,56,1,0.0
2016-08-01,0.6994,82.5157,0.8,143,80,1,0.0
2016-09-01,0.0681,82.5838,0.83,143,83,1,0.0
2016-10-01,-0.27,82.3138,0.69,143,69,1,0.0
2016-11-01,4.6276,86.9414,1.2,143,60,2,0.27
2016-12-01,0.7519,87.6933,0.61,143,61,1,0.0
2017-01-01,1.3509,89.0442,0.61,143,61,1,0.0
2017-02-01,1.2481,90.2923,0.58,143,58,1,0.0
2017-03-01,0.1855,90.4778,0.77,143,77,1,0.0
2017-04-01,1.0172,91.495,0.79,143,79,1,0.0
2017-05-01,1.903,93.398,0.84,143,84,1,0.0
2017-06-01,0.8947,94.2928,0.78,143,78,1,0.0
2017-07-01,1.8107,96.1034,0.77,143,77,1,0.0
2017-08-01,0.733,96.8364,0.75,143,75,1,0.0
2017-09-01,1.3927,98.2292,0.62,143,62,1,0.0
2017-10-01,2.8898,101.119,0.78,143,78,1,0.0
2017-11-01,1.4577,102.5767,0.71,143,71,1,0.0
2017-12-01,0.6214,103.1981,0.79,143,79,1,0.0
2018-01-01,4.7622,107.9603,0.86,143,86,1,0.0
2018-02-01,-0.9985,106.9618,0.84,143,84,1,0.0
2018-03-01,-2.5968,104.3649,1.52,143,76,2,0.9985
2018-04-01,2.6056,106.9705,5.28,143,66,8,3.5953
2018-05-01,2.7191,109.6896,1.26,143,63,2,0.9898
2018-06-01,-0.0566,109.633,0.51,143,51,1,0.0
2018-07-01,2.1921,111.8251,0.96,143,48,2,0.0566
2018-08-01,1.5293,113.3544,0.46,143,46,1,0.0
2018-09-01,0.6661,114.0205,0.65,143,65,1,0.0
2018-10-01,-1.0593,112.9612,0.77,143,77,1,0.0
2018-11-01,2.9772,115.9384,1.22,143,61,2,1.0593
2018-12-01,-1.7064,114.2319,0.64,143,64,1,0.0
2019-01-01,5.4026,119.6345,2.22,143,37,6,1.7064
2019-02-01,1.4894,121.124,0.47,143,47,1,0.0
2019-03-01,0.8895,122.0134,0.53,143,53,1,0.0
2019-04-01,1.311,123.3244,0.49,143,49,1,0.0
2019-05-01,-1.4581,121.8663,0.77,143,77,1,0.0
2019-06-01,12.07,133.9363,2.12,143,53,4,1.4581
2019-07-01,0.8137,134.7499,0.88,143,88,1,0.0
2019-08-01,0.3622,135.1121,0.78,143,78,1,0.0
2019-09-01,0.0999,135.2121,0.66,143,66,1,0.0
2019-10-01,1.0133,136.2253,0.68,143,68,1,0.0
2019-11-01,1.253,137.4784,0.62,143,62,1,0.0
2019-12-01,1.512,138.9904,0.88,143,88,1,0.0
2020-01-01,0.4689,139.4593,0.8,143,80,1,0.0
2020-02-01,-2.8943,136.565,0.78,143,78,1,0.0
2020-03-01,-5.2187,131.3462,0.96,143,48,2,2.8943
2020-04-01,34.3225,165.6687,3.96,143,22,18,8.1131
2020-05-01,1.3084,166.9771,0.4,143,40,1,0.0
2020-06-01,-0.317,166.6601,0.49,143,49,1,0.0
2020-07-01,2.419,169.0791,0.74,143,37,2,0.317
2020-08-01,2.1974,171.2765,0.5,143,50,1,0.0
2020-09-01,-2.0863,169.1902,0.75,143,75,1,0.0
2020-10-01,-4.7138,164.4764,1.84,143,92,2,2.0863
2020-11-01,34.5388,199.0152,4.32,143,72,6,6.8001
2020-12-01,0.9719,199.987,0.81,143,81,1,0.0
2021-01-01,-1.6993,198.2877,0.87,143,87,1,0.0
2021-02-01,4.021,202.3087,1.72,143,86,2,1.6993
2021-03-01,1.5086,203.8173,0.66,143,66,1,0.0
2021-04-01,1.5145,205.3318,0.8,143,80,1,0.0
2021-05-01,-0.2473,205.0845,0.93,143,93,1,0.0
2021-06-01,0.6426,205.7272,1.72,143,86,2,0.2473
