date,monthly_return_pct,cumulative_return_pct,capital_deployed,num_stocks,num_stocks_trading,uniform_size,portfolio_cumulated_loss_pct
2015-02-01,2.3143,2.3143,0.9,143,90,1,0.0
2015-03-01,0.5455,2.8598,0.82,143,82,1,0.0
2015-04-01,-0.1002,2.7596,0.28,143,28,1,0.0
2015-05-01,1.9723,4.7319,0.96,143,48,2,0.1002
2015-06-01,0.4705,5.2023,0.64,143,64,1,0.0
2015-07-01,0.61,5.8123,0.32,143,32,1,0.0
2015-08-01,-2.1049,3.7074,0.62,143,62,1,0.0
2015-09-01,-2.6739,1.0335,1.36,143,4,34,2.1049
2015-10-01,7.966,8.9995,3.3,143,33,10,4.7788
2015-11-01,1.3971,10.3966,0.83,143,83,1,0.0
2015-12-01,0.2916,10.6882,0.49,143,49,1,0.0
2016-01-01,-0.1882,10.4999,0.4,143,40,1,0.0
2016-02-01,0.246,10.7459,0.44,143,22,2,0.1882
2016-03-01,1.0929,11.8389,0.39,143,39,1,0.0
2016-04-01,1.2703,13.1092,0.89,143,89,1,0.0
2016-05-01,1.1777,14.2869,0.6,143,60,1,0.0
2016-06-01,-0.0968,14.1901,0.58,143,58,1,0.0
2016-07-01,1.9345,16.1247,0.92,143,46,2,0.0968
2016-08-01,0.8583,16.983,0.7,143,70,1,0.0
2016-09-01,0.7279,17.7109,0.46,143,46,1,0.0
2016-10-01,0.1683,17.8792,0.45,143,45,1,0.0
2016-11-01,0.1892,18.0684,0.4,143,40,1,0.0
2016-12-01,1.1168,19.1852,0.55,143,55,1,0.0
2017-01-01,1.2538,20.439,0.69,143,69,1,0.0
2017-02-01,1.762,22.201,0.69,143,69,1,0.0
2017-03-01,1.2854,23.4864,0.78,143,78,1,0.0
2017-04-01,1.291,24.7774,0.54,143,54,1,0.0
2017-05-01,1.2475,26.025,0.59,143,59,1,0.0
2017-06-01,0.5102,26.5352,0.6,143,60,1,0.0
2017-07-01,1.0204,27.5556,0.47,143,47,1,0.0
2017-08-01,1.1005,28.6561,0.68,143,68,1,0.0
2017-09-01,0.7602,29.4162,0.5,143,50,1,0.0
2017-10-01,1.0902,30.5064,0.64,143,64,1,0.0
2017-11-01,1.721,32.2274,0.68,143,68,1,0.0
2017-12-01,1.3003,33.5278,0.74,143,74,1,0.0
2018-01-01,1.3232,34.851,0.52,143,52,1,0.0
2018-02-01,-1.1009,33.7501,0.81,143,81,1,0.0
2018-03-01,0.0625,33.8126,0.8,143,20,4,1.1009
2018-04-01,1.5507,35.3633,1.04,143,26,4,1.0383
2018-05-01,0.8632,36.2265,0.53,143,53,1,0.0
2018-06-01,0.6517,36.8782,0.54,143,54,1,0.0
2018-07-01,1.225,38.1032,0.56,143,56,1,0.0
2018-08-01,1.4938,39.5971,0.8,143,80,1,0.0
2018-09-01,1.2684,40.8655,0.65,143,65,1,0.0
2018-10-01,-2.9064,37.9591,0.62,143,62,1,0.0
2018-11-01,2.3304,40.2895,2.3,143,23,10,2.9064
2018-12-01,-8.1783,32.1112,1.54,143,77,2,0.576
2019-01-01,17.5217,49.6329,4.72,143,2,236,8.7543
2019-02-01,1.9886,51.6215,0.88,143,88,1,0.0
2019-03-01,1.6135,53.235,0.78,143,78,1,0.0
2019-04-01,1.2227,54.4577,0.68,143,68,1,0.0
2019-05-01,-2.9709,51.4868,0.71,143,71,1,0.0
2019-06-01,6.0593,57.5461,2.38,143,17,14,2.9709
2019-07-01,1.6518,59.1979,0.9,143,90,1,0.0
2019-08-01,-0.1073,59.0906,0.65,143,65,1,0.0
2019-09-01,0.9885,60.0791,0.94,143,47,2,0.1073
2019-10-01,0.9629,61.042,0.58,143,58,1,0.0
2019-11-01,1.7687,62.8107,0.72,143,72,1,0.0
2019-12-01,1.9377,64.7484,0.77,143,77,1,0.0
2020-01-01,0.0035,64.7518,0.76,143,76,1,0.0
2020-02-01,-2.3458,62.406,0.47,143,47,1,0.0
2020-03-01,-5.9523,56.4538,1.44,143,8,18,2.3458
2020-04-01,16.6611,73.1148,5.52,143,12,46,8.2981
2020-05-01,2.4096,75.5244,0.94,143,94,1,0.0
2020-06-01,0.888,76.4124,0.74,143,74,1,0.0
2020-07-01,0.8257,77.2381,0.43,143,43,1,0.0
2020-08-01,1.6858,78.9239,0.74,143,74,1,0.0
2020-09-01,0.8705,79.7943,0.78,143,78,1,0.0
2020-10-01,0.0435,79.8378,0.32,143,32,1,0.0
2020-11-01,0.9895,80.8274,0.23,143,23,1,0.0
2020-12-01,2.4407,83.2681,0.92,143,92,1,0.0
2021-01-01,-0.1389,83.1292,0.73,143,73,1,0.0
2021-02-01,0.3894,83.5185,0.68,143,34,2,0.1389
2021-03-01,1.408,84.9265,0.56,143,56,1,0.0
2021-04-01,1.9733,86.8998,0.81,143,81,1,0.0
2021-05-01,0.9681,87.8679,0.75,143,75,1,0.0
2021-06-01,0.6333,88.5012,0.57,143,57,1,0.0
2021-07-01,1.2082,89.7094,0.54,143,54,1,0.0
2021-08-01,1.0131,90.7225,0.6,143,60,1,0.0
2021-09-01,-1.9012,88.8213,0.64,143,64,1,0.0
2021-10-01,3.4427,92.264,1.28,143,16,8,1.9012
2021-11-01,-0.7629,91.5011,0.74,143,74,1,0.0
2021-12-01,1.0611,92.5622,0.68,143,34,2,0.7629
2022-01-01,-1.552,91.0102,0.81,143,81,1,0.0
2022-02-01,-0.0868,90.9234,1.2,143,30,4,1.552
2022-03-01,1.5752,92.4987,1.2,143,30,4,1.6388
2022-04-01,-5.6248,86.8739,1.16,143,58,2,0.0636
2022-05-01,3.0818,89.9556,3.78,143,21,18,5.6883
2022-06-01,-11.2809,78.6748,2.28,143,57,4,2.6066
2022-07-01,19.6235,98.2983,7.04,143,16,44,13.8874
2022-08-01,-1.072,97.2263,0.8,143,80,1,0.0
2022-09-01,-4.9485,92.2777,0.84,143,21,4,1.072
2022-10-01,12.4465,104.7242,4.18,143,11,38,6.0206
2022-11-01,2.1515,106.8757,0.84,143,84,1,0.0
2022-12-01,-1.4992,105.3765,0.85,143,85,1,0.0
2023-01-01,-0.2648,105.1117,1.38,143,23,6,1.4992
2023-02-01,-2.1989,102.9128,1.34,143,67,2,1.764
2023-03-01,3.7812,106.694,2.4,143,20,12,3.9629
2023-04-01,1.8217,108.5157,1.5,143,75,2,0.1817
2023-05-01,-1.7713,106.7444,0.61,143,61,1,0.0
2023-06-01,4.2722,111.0165,1.68,143,28,6,1.7713
2023-07-01,1.3859,112.4024,0.88,143,88,1,0.0
2023-08-01,-0.3776,112.0249,0.7,143,70,1,0.0
2023-09-01,-2.0717,109.9532,0.76,143,38,2,0.3776
2023-10-01,0.1398,110.093,2.24,143,16,14,2.4492
2023-11-01,4.6337,114.7267,2.8,143,35,8,2.3094
2023-12-01,1.3926,116.1194,0.82,143,82,1,0.0
2024-01-01,0.7432,116.8625,0.81,143,81,1,0.0
2024-02-01,1.2508,118.1134,0.65,143,65,1,0.0
2024-03-01,0.9751,119.0884,0.7,143,70,1,0.0
2024-04-01,-1.0181,118.0704,0.69,143,69,1,0.0
2024-05-01,2.1842,120.2545,1.16,143,29,4,1.0181
2024-06-01,1.136,121.3905,0.72,143,72,1,0.0
2024-07-01,0.1962,121.5867,0.58,143,58,1,0.0
2024-08-01,0.9583,122.545,0.6,143,60,1,0.0
2024-09-01,1.3743,123.9192,0.76,143,76,1,0.0
2024-10-01,0.0644,123.9837,0.64,143,64,1,0.0
2024-11-01,0.7377,124.7214,0.37,143,37,1,0.0
2024-12-01,-2.1377,122.5836,0.7,143,70,1,0.0
