ticker,months,total_pnl_pct,final_cum_pnl_pct,avg_monthly_pnl_pct,avg_prem_pct,win_rate_pct,max_drawdown_pct,max_size,max_size_hit,pct_months_recovery
PORTFOLIO (1/100 capital),119,122.58,122.58,1.0301,–,75.6,-13.89,–,–,–
AVGO,96,1195.0,11.95,12.4479,2.62,58.3,-0.62,236,False,30.2
GE,95,936.22,9.36,9.855,1.69,38.9,-0.12,236,False,25.3
LLY,119,748.11,7.48,6.2866,2.14,48.7,-0.15,46,False,28.6
NFLX,119,495.88,4.96,4.1671,2.79,48.7,-2.05,46,False,28.6
VRTX,72,463.42,4.63,6.4363,1.44,38.9,-0.23,46,False,34.7
MRK,119,398.12,3.98,3.3456,1.51,39.5,-0.16,46,False,28.6
CRM,119,381.23,3.81,3.2036,2.22,47.1,-0.28,44,False,28.6
META,119,369.52,3.7,3.1052,2.75,51.3,-0.6,14,False,28.6
COST,119,335.31,3.35,2.8178,1.62,48.7,-0.18,46,False,28.6
UNH,119,320.62,3.21,2.6943,1.74,43.7,-0.26,44,False,28.6
TMUS,96,307.97,3.08,3.2081,1.99,53.1,-0.69,44,False,30.2
AMZN,119,307.1,3.07,2.5807,2.27,47.9,-0.49,46,False,28.6
REGN,24,268.36,2.68,11.1817,1.53,37.5,-0.35,46,False,41.7
HUM,36,267.91,2.68,7.4419,1.41,36.1,-0.47,44,False,52.8
BMY,119,259.75,2.6,2.1828,1.52,38.7,-0.41,44,False,28.6
LMT,119,246.38,2.46,2.0704,1.87,46.2,-0.3,14,False,28.6
ZTS,72,243.42,2.43,3.3808,1.75,47.2,-0.26,44,False,34.7
JNJ,119,226.11,2.26,1.9001,1.2,46.2,-0.22,38,False,28.6
GILD,107,224.68,2.25,2.0998,1.23,25.2,-0.41,46,False,29.0
T,107,221.03,2.21,2.0657,1.61,39.3,-0.22,18,False,30.8
TXN,119,215.27,2.15,1.809,2.49,49.6,-0.54,10,False,28.6
NVDA,96,200.57,2.01,2.0893,3.5,53.1,-1.18,18,False,30.2
MSFT,119,186.65,1.87,1.5685,1.92,52.9,-0.24,12,False,28.6
NEE,119,174.13,1.74,1.4633,1.25,46.2,-0.46,44,False,28.6
ADBE,119,166.44,1.66,1.3986,2.4,48.7,-0.71,10,False,28.6
RTX,24,162.4,1.62,6.7668,1.87,45.8,-0.12,44,False,66.7
VZ,119,162.02,1.62,1.3615,1.67,37.8,-0.15,10,False,28.6
NOW,60,160.04,1.6,2.6674,2.34,48.3,-0.07,44,False,36.7
UPS,36,153.27,1.53,4.2575,1.52,30.6,-0.24,44,False,52.8
INTC,119,152.68,1.53,1.283,2.24,37.8,-0.83,14,False,28.6
ELV,107,147.74,1.48,1.3807,1.76,39.3,-0.26,18,False,24.3
UNP,119,146.55,1.47,1.2315,1.84,42.0,-0.2,12,False,28.6
ABT,119,146.16,1.46,1.2282,1.45,42.9,-0.35,46,False,28.6
HD,119,141.13,1.41,1.186,1.7,47.9,-0.29,18,False,28.6
SBUX,119,138.62,1.39,1.1649,1.14,40.3,-0.22,38,False,28.6
PEP,119,136.27,1.36,1.1451,1.22,44.5,-0.14,18,False,28.6
LOW,119,131.97,1.32,1.109,1.57,42.9,-0.21,34,False,28.6
AAPL,119,131.36,1.31,1.1039,1.78,44.5,-0.13,12,False,28.6
MCD,107,129.1,1.29,1.2066,1.08,44.9,-0.07,14,False,24.3
EL,60,127.91,1.28,2.1318,1.7,38.3,-0.4,44,False,40.0
MA,119,126.91,1.27,1.0665,1.77,52.1,-0.16,18,False,28.6
KO,119,122.51,1.23,1.0295,1.2,47.1,-0.15,18,False,28.6
CSCO,119,115.52,1.16,0.9707,1.73,41.2,-0.25,12,False,28.6
NKE,119,108.04,1.08,0.9079,1.77,37.8,-0.27,10,False,28.6
AMGN,107,106.79,1.07,0.9981,1.51,39.3,-0.58,46,False,24.3
ICE,48,99.97,1.0,2.0827,1.75,47.9,-0.1,14,False,20.8
WFC,107,91.74,0.92,0.8574,1.9,43.9,-0.4,10,False,29.0
GOOGL,119,90.3,0.9,0.7588,2.07,46.2,-0.63,6,False,28.6
AXP,119,89.24,0.89,0.7499,1.6,47.9,-0.26,34,False,28.6
ORCL,119,88.84,0.89,0.7465,1.89,41.2,-0.27,6,False,28.6
BSX,24,88.19,0.88,3.6744,1.65,62.5,-0.02,12,False,37.5
CHTR,60,83.62,0.84,1.3936,2.04,55.0,-0.21,14,False,20.0
CME,24,82.9,0.83,3.454,1.36,45.8,-0.0,14,False,29.2
HON,119,80.78,0.81,0.6788,1.78,45.4,-0.26,4,False,28.6
AMT,107,80.54,0.81,0.7527,1.7,42.1,-0.3,14,False,30.8
DUK,108,79.98,0.8,0.7405,1.15,43.5,-0.2,14,False,28.7
CVS,119,78.23,0.78,0.6574,1.39,29.4,-0.68,46,False,28.6
MDT,119,74.7,0.75,0.6277,1.38,38.7,-0.3,14,False,28.6
PM,107,73.74,0.74,0.6891,1.22,42.1,-0.19,18,False,29.0
V,119,73.25,0.73,0.6156,1.59,47.9,-0.14,8,False,28.6
SYK,108,71.93,0.72,0.666,1.58,42.6,-0.28,12,False,28.7
SO,119,66.15,0.66,0.5559,1.2,42.0,-0.63,18,False,28.6
CMCSA,83,65.45,0.65,0.7886,1.75,39.8,-0.2,10,False,25.3
MMM,95,62.98,0.63,0.6629,1.81,45.3,-0.47,10,False,26.3
WMT,83,60.75,0.61,0.7319,1.39,42.2,-1.0,46,False,20.5
MDLZ,119,53.65,0.54,0.4508,1.16,36.1,-0.23,18,False,28.6
INTU,72,51.57,0.52,0.7163,1.85,40.3,-0.19,2,False,34.7
WM,36,47.51,0.48,1.3198,1.75,47.2,-0.09,8,False,30.6
TMO,119,45.61,0.46,0.3832,1.78,46.2,-0.38,8,False,28.6
IBM,95,43.82,0.44,0.4613,1.51,38.9,-0.29,8,False,24.2
ADP,107,42.94,0.43,0.4013,1.76,43.9,-0.4,10,False,29.0
CB,12,41.92,0.42,3.4932,1.34,50.0,-0.17,14,False,66.7
EQIX,72,36.03,0.36,0.5003,1.56,40.3,-0.31,8,False,31.9
ITW,107,34.45,0.34,0.322,1.67,44.9,-0.4,4,False,30.8
PFE,107,33.05,0.33,0.3088,1.37,38.3,-0.7,14,False,30.8
PLD,60,31.04,0.31,0.5174,1.48,35.0,-0.08,2,False,36.7
CAT,119,29.59,0.3,0.2487,2.02,41.2,-0.67,6,False,28.6
MET,47,29.56,0.3,0.6288,1.68,44.7,-0.18,4,False,19.1
SPG,35,28.21,0.28,0.806,1.29,17.1,-0.06,10,False,14.3
NOC,12,28.07,0.28,2.3393,1.55,41.7,0.0,14,False,66.7
TSLA,36,26.47,0.26,0.7352,3.16,27.8,-0.53,8,False,33.3
PRU,23,26.0,0.26,1.1305,2.01,60.9,-0.07,2,False,21.7
COP,12,25.48,0.25,2.123,1.38,33.3,-0.26,14,False,66.7
ADI,36,25.26,0.25,0.7017,1.82,30.6,-0.44,12,False,47.2
SPGI,84,22.63,0.23,0.2694,1.55,39.3,-0.4,6,False,34.5
CSX,48,22.17,0.22,0.4618,2.0,47.9,-0.27,4,False,25.0
GIS,23,20.13,0.2,0.8751,1.17,47.8,-0.01,2,False,21.7
SLB,35,18.07,0.18,0.5162,1.3,25.7,-0.09,2,False,14.3
MCK,12,17.61,0.18,1.4676,2.25,58.3,-0.09,4,False,8.3
ANET,12,17.35,0.17,1.4462,2.5,75.0,-0.09,1,False,8.3
PPL,23,16.15,0.16,0.7022,1.03,26.1,-0.07,10,False,21.7
BAC,119,15.56,0.16,0.1308,1.89,42.9,-0.58,8,False,28.6
DD,11,15.51,0.16,1.4103,1.64,54.5,0.0,2,False,27.3
ETN,12,15.1,0.15,1.2582,2.09,66.7,-0.09,4,False,8.3
PANW,12,14.14,0.14,1.1786,2.01,25.0,-0.04,4,False,8.3
LYB,23,14.05,0.14,0.611,1.84,39.1,-0.08,2,False,21.7
CMG,12,13.7,0.14,1.1418,2.25,58.3,-0.1,4,False,8.3
BA,107,12.6,0.13,0.1178,1.63,32.7,-0.96,44,False,24.3
PGR,12,11.73,0.12,0.9778,1.87,58.3,-0.1,4,False,8.3
XOM,107,10.73,0.11,0.1003,1.64,36.4,-1.0,14,False,24.3
DHR,119,9.91,0.1,0.0833,1.45,41.2,-0.64,4,False,28.6
AIG,12,9.62,0.1,0.8017,1.59,50.0,-0.06,1,False,16.7
ABNB,12,8.71,0.09,0.7261,2.0,41.7,-0.06,1,False,8.3
USB,59,8.71,0.09,0.1477,1.71,42.4,-0.34,2,False,20.3
CL,59,8.06,0.08,0.1366,1.1,39.0,-0.41,10,False,20.3
BRK-B,119,7.48,0.07,0.0629,0.99,35.3,-0.21,4,False,28.6
DIS,107,7.41,0.07,0.0692,1.57,28.0,-0.88,10,False,30.8
CTSH,35,6.96,0.07,0.1989,1.72,37.1,-0.24,2,False,14.3
DE,48,2.75,0.03,0.0573,1.53,29.2,-0.24,4,False,41.7
EW,12,0.21,0.0,0.0173,1.96,50.0,-0.1,1,False,25.0
UBER,12,-0.59,-0.01,-0.0493,1.5,25.0,-0.08,1,False,8.3
PYPL,84,-0.88,-0.01,-0.0105,1.64,41.7,-0.74,4,False,26.2
JPM,119,-2.71,-0.03,-0.0227,1.63,44.5,-0.92,12,False,28.6
LRCX,48,-4.38,-0.04,-0.0912,1.9,39.6,-0.78,6,False,41.7
SHW,12,-4.76,-0.05,-0.3967,1.36,16.7,-0.02,18,False,66.7
ACN,48,-4.84,-0.05,-0.1008,1.52,33.3,-0.37,6,False,41.7
HAL,11,-6.33,-0.06,-0.5753,1.77,36.4,-0.16,2,False,27.3
QCOM,107,-6.74,-0.07,-0.063,2.06,33.6,-0.45,4,False,29.9
ISRG,96,-8.22,-0.08,-0.0857,1.49,45.8,-0.64,6,False,30.2
BDX,95,-8.9,-0.09,-0.0937,1.43,44.2,-0.52,6,False,31.6
CI,12,-10.03,-0.1,-0.8356,0.98,25.0,-0.15,2,False,25.0
PG,119,-20.65,-0.21,-0.1735,1.23,47.1,-1.18,18,False,28.6
FDX,59,-21.56,-0.22,-0.3653,1.94,47.5,-0.64,2,False,20.3
BLK,119,-23.47,-0.23,-0.1972,1.6,42.0,-0.78,4,False,28.6
MS,119,-27.08,-0.27,-0.2276,1.64,43.7,-0.95,4,False,28.6
BKNG,84,-28.83,-0.29,-0.3432,1.79,34.5,-1.25,12,False,34.5
GM,83,-29.12,-0.29,-0.3509,1.92,34.9,-1.27,10,False,26.5
KLAC,24,-31.69,-0.32,-1.3202,2.02,29.2,-0.52,4,False,37.5
MU,84,-33.21,-0.33,-0.3954,2.93,39.3,-1.08,6,False,34.5
BIIB,23,-37.45,-0.37,-1.6282,1.59,30.4,-0.43,1,False,21.7
C,95,-46.39,-0.46,-0.4883,1.61,36.8,-0.93,4,False,26.3
MO,59,-79.18,-0.79,-1.3421,1.29,44.1,-1.37,10,False,20.3
CVX,119,-80.37,-0.8,-0.6754,1.55,40.3,-1.98,14,False,28.6
F,23,-80.61,-0.81,-3.5047,1.3,26.1,-0.93,4,False,47.8
GS,119,-88.05,-0.88,-0.7399,1.54,41.2,-1.46,10,False,28.6
AMD,36,-88.99,-0.89,-2.4719,2.46,25.0,-1.17,4,False,33.3
TJX,84,-111.27,-1.11,-1.3247,1.69,53.6,-3.12,38,False,34.5
EOG,83,-170.7,-1.71,-2.0566,1.63,30.1,-1.84,34,False,26.5
ABBV,119,-241.21,-2.41,-2.0269,1.72,47.1,-2.87,44,False,28.6
SCHW,108,-250.99,-2.51,-2.324,1.5,38.9,-3.69,38,False,28.7
AMAT,96,-257.2,-2.57,-2.6792,2.33,42.7,-3.55,18,False,30.2
TGT,71,-432.0,-4.32,-6.0846,1.4,38.0,-4.72,18,False,25.4
